path_id,plan_key,event_order,month_index,date,stage,event,amount,balance,floor,attempt,note,strategy_path_id,prefix_application_basis
26,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49754.506147093445,49700.0,1,capital budget exhausted or rebuys disabled,26,ACCOUNT_STATE_BEFORE_PREFIX
26,Alpha Futures - Advanced 50K - Funded only,1,2,2026-08-12,funded,funded_failed,0.0,50157.0,49950.0,1,Drawdown breached,26,ACCOUNT_STATE_BEFORE_PREFIX
26,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50157.0,49950.0,1,capital budget exhausted or rebuys disabled,26,ACCOUNT_STATE_BEFORE_PREFIX
27,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-13,funded,funded_failed,0.0,49800.0,49700.0,1,Drawdown breached,27,ACCOUNT_STATE_BEFORE_PREFIX
27,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,49800.0,49700.0,1,capital budget exhausted or rebuys disabled,27,ACCOUNT_STATE_BEFORE_PREFIX
27,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,27,ACCOUNT_STATE_BEFORE_PREFIX
27,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,27,ACCOUNT_STATE_BEFORE_PREFIX
28,Apex Trader Funding - EOD PA 50K - Funded only,1,1,2026-07-14,funded,funded_failed,0.0,50031.0,49700.0,1,Drawdown breached,28,ACCOUNT_STATE_BEFORE_PREFIX
28,Apex Trader Funding - EOD PA 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50031.0,49700.0,1,capital budget exhausted or rebuys disabled,28,ACCOUNT_STATE_BEFORE_PREFIX
28,Alpha Futures - Advanced 50K - Funded only,1,1,2026-07-10,funded,funded_failed,0.0,50100.0,49950.0,1,Drawdown breached,28,ACCOUNT_STATE_BEFORE_PREFIX
28,Alpha Futures - Advanced 50K - Funded only,2,2,2026-08-18,funded,terminal,0.0,50100.0,49950.0,1,capital budget exhausted or rebuys disabled,28,ACCOUNT_STATE_BEFORE_PREFIX
