path_id,plan_key,firm,account_name,contracts,month_index,month,stage,attempt,starting_balance,ending_balance,pnl,max_drawdown,floor,payouts,fees,cumulative_payouts,cumulative_fees,net_cash,status,strategy_path_id,account_path_id,prefix_application_basis
39,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,2,2026-08,funded,1,49600.0,49600.0,0.0,0.0,49450.0,0.0,0.0,0.0,0.0,0.0,terminal,9,39,ACCOUNT_STATE_BEFORE_PREFIX
40,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,49900.0,-100.0,900.0,48300.0,0.0,0.0,0.0,0.0,0.0,active,10,40,ACCOUNT_STATE_BEFORE_PREFIX
40,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,2,2026-08,funded,1,49900.0,49100.0,-800.0,800.0,48300.0,0.0,0.0,0.0,0.0,0.0,active,10,40,ACCOUNT_STATE_BEFORE_PREFIX
41,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,1,2026-07,funded,1,50000.0,49600.0,-400.0,1349.4767909288857,49200.0,0.0,0.0,0.0,0.0,0.0,terminal,10,41,ACCOUNT_STATE_BEFORE_PREFIX
41,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,4,2,2026-08,funded,1,49600.0,49600.0,0.0,0.0,49200.0,0.0,0.0,0.0,0.0,0.0,terminal,10,41,ACCOUNT_STATE_BEFORE_PREFIX
42,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,1,1,2026-07,funded,1,50000.0,49900.0,-100.0,900.0,48550.0,0.0,0.0,0.0,0.0,0.0,active,10,42,ACCOUNT_STATE_BEFORE_PREFIX
42,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,1,2,2026-08,funded,1,49900.0,49100.0,-800.0,800.0,48550.0,0.0,0.0,0.0,0.0,0.0,active,10,42,ACCOUNT_STATE_BEFORE_PREFIX
43,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,1,2026-07,funded,1,50000.0,49600.0,-400.0,1349.4767909288857,49450.0,0.0,0.0,0.0,0.0,0.0,terminal,10,43,ACCOUNT_STATE_BEFORE_PREFIX
43,Alpha Futures - Advanced 50K - Funded only,Alpha Futures,Advanced 50K,4,2,2026-08,funded,1,49600.0,49600.0,0.0,0.0,49450.0,0.0,0.0,0.0,0.0,0.0,terminal,10,43,ACCOUNT_STATE_BEFORE_PREFIX
44,Apex Trader Funding - EOD PA 50K - Funded only,Apex Trader Funding,EOD PA 50K,1,1,2026-07,funded,1,50000.0,50500.0,500.0,100.0,48500.0,0.0,0.0,0.0,0.0,0.0,active,11,44,ACCOUNT_STATE_BEFORE_PREFIX
